time,gender,age,general,ideas1,grade1,ideas2,grade2,ideas3,grade3,ideas4,grade4,ideas5,grade5,ideas6,grade6,ideas7,grade7,ideas8,grade8,ideas9,grade9,love
29.10.2024 23:01:39,Женский,48,Яркий ,Мутный~ приглушённый~ печальный ,1,Темный~ тяжёлый ,2,Розовый ,0,Кислотный,0,Оранж,1,Ультра,1,Яркий слишком ,2,Грязный город ,1,Бордо,1,Гаджет искажает цвет
29.10.2024 23:02:12,Женский,43,Яркий~ волнующий~ завлекающий~ опасный~ манкий.,Цвет пионерского галстука~ флага ссср~ навязчивый~ красно-оранжевый,1,Шуба/шапка/мешок Санта Клауса~ кремлевская звезда.,2,Цвет летнего маникюра/педикюра на моря :) ,2,‘Вырви глаз’~ ‘бросается в глаза’~ ярко/броско~ вызывающе.,3,Рябина~ хурма.,2,Цвет ягоды~ клубника~ лето.,4,Цвет кленаового листа на флаге Канады.,4,Лиса~ детские книги с картинками советских художников.,3,Цвет крови~ осень в Северной Америке.,5,Забавный тест:) напомнило выбор цвета лака для ногтей в салоне🤭но оттенки в самом деле все разные и ассоциации с ними тоже разные. Розами развеселили😁Спасибо!
29.10.2024 23:12:23,Женский,50,Фламенко. Кровь. ,Это алый~ кажется. Мне такой идёт. Люблю и ношу одежду такого цвета,2,Ближе к терракоиовому. Пока писала~ возникло ощущение шероховатости. Наверное~ не от цвета~ а через  слово терракота~  глина,3,Неон. Мода моей юности.  Много косметики~ жвачка~ начесы,1,Чистый цвет. Звонкий~ средний тон. Металлический призвук,2,Не вижу отличий от предыдущего. Образец ткани~ colour sample,2,Цветовые галлюцинации. Усталость сетчатки. Сто оттенков красного,2,Бодрое детство. Игрушка. Неваляшка,2,Пионерский галстук. Кумач. С красным знаменем цвета одногого,3,База. Выкрас. Стена под покраску,4,Очень тяжело. Близкие оттенки. И ещё мне кажется~ что красный разнообразнее ;-)
29.10.2024 23:13:27,Женский,50,Кровь,Алый~ китай,4,Бордовый~ роза,4,Малиновый~ малина,4,То же~ что и первый~ алый,4,Аналогично~ как предыдущий~ алый,4,Галстук пионерский,4,Не вижу разницы с предыдущим~ галстук пионерский~ флаг,4,Красно-коричневый,4,Бордовый,4,Не чувствую разницы в некоторых оттенках~ одинаковые ассоциации
29.10.2024 23:15:06,Женский,49,Яркий~ вызывающий~ запоминающийся~ кричащий,Приглушенный красный~ ближе к коралловому ,2,Красный~ с темноватым оттенком ,3,Слегка напоминает цикломеновый оттенок,0,коралловый оттенок~ яркий цвет,4,красный~ алый~ на полутон или четверть тона светлее~ чем для меня является прототип красный ,4,Коралловый оттенок,2,Яркий красный с коралловым оттенком ,4,Терракотовый оттенок,3,Малиновый оттенок ,3,
29.10.2024 23:37:48,Женский,54,Флаг закат яблоко ,алое знамя,0,спелая клубника. Зрелая вишня,2,яркий малиновый цвет ,1,Дамский автомобиль ,4,кровь артериальная,3,яркий контрастный,2,Красный крест,4,темно красный свитер,1,темно бардовый спокойный оттенок ,0,Спасибо за розы
29.10.2024 23:51:51,Женский,18,красивый~ очень русский~ цвет крови,морковь~ лосось~ рыба красная,0,секс~ сексуальность~ нижнее белье~ помада,5,барби~ 15 ветка метро~ жентвенность,1,Китай~ коммунизм,3,Осень~ свитер~ клен,1,помада~ Париж,4,яркий,5,помада~ кровь~ осень~ кирпич,2,помада~ мода~  женственность,5,
29.10.2024 23:52:48,Женский,47,Кровь~ революция~ косынка~ яблоко,Флаг ссср~ алая кровь,2,Арбуз~ красный диплом,3,Косынка~ заря~ восход,1,Томатный сок~ звезда,4,Флаг Китая~ помада,4,Косынуа~ малина,3,Красная карточка~ сарафан,4,Насыщенный~ томатный сок,4,Полотно~ кумач,5,
29.10.2024 23:54:18,Женский,46,Цвет победы,Грепфрут,1,Кровь,5,Маркер для доски,2,Электрический~ искусственный,1,Апельсин~ обложка книги,1,Закат,3,Ассоциаций нет,1,Вишня~ осень,4,Флаг~ пионерский галстук,5,Что показывает этот опрос?
30.10.2024 0:06:28,Мужской,18,Кровь~ вино.,Красный~ не доросший до рыжего. Помидорный.,3,Цвет ковровой дорожки. Респектабельность~ томность.,4,Розоватый. Ассоциации с девчачьей комнатой~ полной плакатов американских гёрл-бэндов.,1,Гипнотический. Кровь~ как я её представляю в голове (именно в голове~ не её реальный цвет),5,Вроде тот же~ что и предыдущий (гипнотический).,5,Тот же гипнотический~ но с намёком на розовый. Ассоциаций не нахожу,4,Снова гипнотический.,5,Снова ковровая дорожка.,4,Ковровая дорожка~ но чуть светлее.,4,Чуть однообразно~ но занимательно.
30.10.2024 0:07:38,Женский,48,опасность,закат,2,кровь,4,рассвет,0,пламя,3,солнце,2,красный крест,3,пионерия,3,рана,3,малинник,1,
30.10.2024 0:12:02,Женский,44,630-700 нм~ цвет используют для привлечения внимания у опасным ситуациям,Яркий~ теплый,4,Кровь? Цвет внимания ,4,Холодный оттенок~ флаг,3,Пионеры ,5,Первомай,5,Холодный~ отталкивающий ,2,Не природный~ синтетический,3,Стройка~ кремль,4,Помада~ вызывающий,4,Интересен результат 
30.10.2024 0:21:22,Женский,48,Женщина в красном -это круто. Опасность ещё. Бой быков,ярковатый~ рыжеватый~ неприятный,1,хороший~ довольно спокойный,3,это розовый,0,Просто красный~ но не люблю сильно яркие,4,норм. рыжеват,3,приятный~ но с розовинкой,4,красный~ да~ но глаз уже замылился~ слишком много красного - плохо~ раздражает,3,Приятный~ спокойный~ но скорее коричневый,0,мужской,3,Кошмар~ этот красный в таких количествах! Почему вы не сине-фиолетово-голубой изучаете. За розы спасибо! В розах цвет хорош
30.10.2024 0:39:56,Женский,31,СССР~ коммунизм~ женщина-вамп~ агрессия~ революция~ цветы~ страсть,Розы~ что-то чувственное и запретное~ эротика~ женственность и нежность,2,Вино~ какой-то фильм про винодельню~ старость~ горечь сожалений~ сдержанность,0,Девчачий~ блеск для губ~ глупость~ косметика~ реклама~ легкомыслие~ мечтательность~ подростки,1,Отталкивающий~ что-то навязывают~ резкий~ коммунизм,4,Кровь~ разбавленная~ сигнал светофора~ запретительный знак~ дорожное движение~ безопасность,3,Алые паруса~ детство~ советские фильмы,4,Оранжевый~ краски~ усталость~ наклейки~ навязывание~ учебники,2,Книга~ переплёт~ коричневый~ капля запёкшейся крови,0,Спокойный~ флаг~ вечер~ уверенность,1,Бесило~ что оттенки некоторые казались одинаковыми. Хотя ассоциации всё-таки разные
30.10.2024 0:47:30,Мужской,53,кровь~ флаг~ тревога~ не белый,лак~ подиум~ мода,3,что-то тягостное~ но еще не полный ужас,4,что-то дешевое и противное. лимонад. или женщина,3,ссср,5,а может это даже больший ссср ) Прям флаг~ как он есть,5,праздник,5,помидор,4,бордо,4,флаг победы,4,
30.10.2024 0:58:20,Мужской,17,FF0000~ световая волна с наибольшей ее длиной~ один из цветов стандартного RGB~ теплый и яркий цвет,Красный с добавление какого-то процента желтого. Не знаю какая тут может быть ассоциация,2,Красный с добавление синего~ ближе к бордовому. Губная помада?..,3,Красный ближе к розовому,2,Больше всего похож на эталонный касный,4,Этот скорее ближе к желтому~ но не такой~ как первый,3,Аналогично с тем~ что был ближе к розовому~ но менее розовый))0),3,Вот это уже красный,5,Это уже ближе к коричневому,2,Условно вишневый?..,2,
30.10.2024 1:47:42,Мужской,20,Ааэээ цвет такой~ ассоциации красная помада~ роза,Грейпфрут~ Италия,2,Бархат~ кровь,3,Химозная клубника~ дешёвая помада 🤮🤮🤮,2,Чет ниче не вызывает ,5,Лава~ шоколад рэд,4,Роза во льду,3,Мне кажется этот уже был...может я дальтоник у,5,Запекшаяся кровь,2,Красное вино,3,👹👺❣️💔❤️‍🔥❤️‍🩹❤️💋💯💢🫀🐞🌹🍅🍓🍒🍎🥩🦞🍷🥢🧱⛩️♨️🚨⛽🛟🛑🎈🧧🧨🥊🪀🎯♥️♦️🧣👙🪭🎒👠⛑️💄📣☎️🏮📕🔖📮🖍️📌📍🧲🧰🩸🧯⛔♈📛⭕❗❌🅰️🆎🅱️🆑🅾️🆘🉐🈹🈲🈴㊗️㊙️🈵🔴🟥🔺🔻
30.10.2024 7:43:43,Женский,43,Красный-цвет жизненной энергии. Яблоко,Донорская кровь~ жизнь~ радость,4,Вишня или черешня~ красное платье,3,Детские наряды~ карамель~ сигнальный флажок,3,Флаг~ карта альфа-банка,5,Пионерский галстук~ светофор,5,Карнавал~ кукольная коляска,4,Плакат~ аппетит~красная ручка~ пятерка~ двойка,5,Лак для ногтей~ платье~ кетчуп,3,Томатная паста~ сладкий перец~ кинотеатр,3,Прикольный тест
